Age,Annual Income ($),Spending Score (1-100),Work Experience,Family Size,Gender_Female,Gender_Male,cluster
-1.0540893174357626,-2.09350094834918,-0.4283385393902162,1,4,0.0,1.0,1
-0.9837228743492632,-1.6561331190220885,1.0755459876224551,3,3,0.0,1.0,2
-1.018906095892513,-0.5408451542380048,-1.6099620963287438,1,1,1.0,0.0,1
-0.9133564312627636,-1.1312917238295783,0.9323188898117246,0,2,1.0,0.0,2
-0.6318906589167655,-1.5905279446230247,-0.3925317649375335,2,6,1.0,0.0,1
-0.9485396528060132,-1.1531601152959332,0.896512115359042,0,2,1.0,0.0,2
-0.4911577727437665,-1.743606684887507,-1.6099620963287438,1,3,1.0,0.0,1
-0.9133564312627636,-0.584581937170714,1.5410340555073296,1,3,1.0,0.0,2
0.5291556520104762,-0.3002928481081044,-1.7173824196867915,0,3,0.0,1.0,1
-0.6670738804600153,-0.2784244566417499,0.7532850175483113,1,4,1.0,0.0,2
0.6347053166402254,-2.2684480800800166,-1.3235079007072823,1,3,0.0,1.0,1
-0.4911577727437665,-0.3877664139735228,1.720067927770743,4,4,1.0,0.0,2
0.3180563227509777,-0.6720555030361324,-1.2877011262546,0,5,1.0,0.0,1
-0.8781732097195137,-0.4315031969062319,0.9323188898117246,1,1,1.0,0.0,2
-0.420791329657267,-2.006027382483762,-1.3593146751599652,0,1,0.0,1.0,1
-0.9485396528060132,-1.3062388555604152,1.00393243871709,1,2,0.0,1.0,2
-0.4911577727437665,-1.787343467820216,-0.5715656372009468,9,5,1.0,0.0,1
-1.018906095892513,-0.4752399798389411,0.5384443708322154,1,6,0.0,1.0,2
0.1069569934914792,-1.9841589910174071,-0.7864062839170427,1,4,0.0,1.0,1
-0.4911577727437665,-1.0656865494305148,1.6842611533180605,0,1,1.0,0.0,2
-0.4911577727437665,-0.3221612395744591,-0.5715656372009468,12,1,0.0,1.0,1
-0.842989988176264,-2.3340532544790804,0.789091792000994,3,4,0.0,1.0,2
-0.1041423357680192,-1.5030543787576065,-1.6457688707814264,13,2,1.0,0.0,1
-0.6318906589167655,-0.8688710262333236,0.789091792000994,5,2,0.0,1.0,2
0.1773234365779787,-0.956344592098742,-1.3235079007072823,1,3,1.0,0.0,1
-0.7022571020032651,-1.2843704640940603,1.111352762075138,1,3,0.0,1.0,2
-0.139325557311269,-0.9344762006323872,-0.6789859605589947,9,8,1.0,0.0,1
-0.4911577727437665,-0.7157922859688415,0.3594104985688022,1,3,0.0,1.0,2
-0.3152416650275177,-2.0278957739501164,-0.7147927350116774,0,1,1.0,0.0,1
-0.9133564312627636,-1.9841589910174071,1.2903866343385513,5,4,1.0,0.0,2
0.3884227658374772,-1.5686595531566705,-1.681575645234109,0,3,0.0,1.0,1
-0.9837228743492632,-1.6780015104884431,0.789091792000994,1,2,1.0,0.0,2
0.1421402150347289,-1.1312917238295783,-1.681575645234109,1,3,0.0,1.0,1
-1.0892725389790123,-1.0656865494305148,1.4694205066019643,9,7,0.0,1.0,2
0.0014073288617299,-0.4315031969062319,-1.3235079007072823,1,2,1.0,0.0,1
-0.9837228743492632,-0.3440296310408136,1.0755459876224551,3,4,1.0,0.0,2
-0.2448752219410183,-2.1153693398155347,-1.2160875773492346,5,1,1.0,0.0,1
-0.6670738804600153,-1.0656865494305148,0.789091792000994,1,5,1.0,0.0,2
-0.4559745512005168,-2.224711297147308,-0.8938266072750907,8,2,1.0,0.0,1
-1.018906095892513,-0.9126078091660328,0.8607053409063593,8,2,1.0,0.0,2
0.5643388735537259,-1.8748170336856345,-0.5715656372009468,4,1,1.0,0.0,1
-0.8781732097195137,-0.5627135457043595,1.4694205066019643,0,2,0.0,1.0,2
-0.0337758926815197,-1.940422208084698,-0.5357588627482641,14,3,0.0,1.0,1
-0.6318906589167655,-1.6998699019547976,0.3594104985688022,1,2,1.0,0.0,2
0.0014073288617299,-0.847002634766969,-0.8222130583697254,8,1,1.0,0.0,1
-0.8781732097195137,-2.355921645945435,0.5026375963795328,4,2,1.0,0.0,2
0.0365905504049797,-1.2843704640940603,0.1445698518527062,0,4,1.0,0.0,1
-0.7726235450897645,-0.8688710262333236,-0.1418843437687549,12,1,1.0,0.0,1
-0.7022571020032651,-0.7157922859688415,-0.3209182160321682,0,4,1.0,0.0,1
-0.6318906589167655,-1.8748170336856345,-0.3209182160321682,1,1,1.0,0.0,1
0.0014073288617299,-0.4971083713052957,0.0371495284946583,1,2,1.0,0.0,1
-0.561524215830266,-0.3002928481081044,0.3236037241161195,1,2,0.0,1.0,2
-0.6318906589167655,-0.8032658518342598,0.1087630774000236,1,1,1.0,0.0,2
0.3532395442942274,-0.9344762006323872,0.3236037241161195,0,2,0.0,1.0,0
0.0365905504049797,-2.0278957739501164,-0.2134978926741202,1,1,1.0,0.0,1
-0.0689591142247695,-0.3440296310408136,-0.3567249904848509,14,2,0.0,1.0,1
0.0717737719482294,-0.8688710262333236,-0.034464020410707,9,4,1.0,0.0,1
0.705071759726725,-2.246579688613662,-0.1776911182214376,8,2,0.0,1.0,1
-0.7726235450897645,-1.1750285067622877,0.0013427540419756,1,3,1.0,0.0,2
0.1421402150347289,-0.4752399798389411,-0.1776911182214376,1,6,0.0,1.0,1
0.7402549812699747,-0.584581937170714,0.1803766263053889,0,2,0.0,1.0,0
-1.0540893174357626,-1.32810724702677,0.1445698518527062,9,2,0.0,1.0,2
0.6347053166402254,-1.32810724702677,0.0371495284946583,0,3,1.0,0.0,1
0.1773234365779787,-1.371844029959479,0.2877969496634369,1,2,1.0,0.0,1
0.4939724304672264,-1.0438181579641603,0.0013427540419756,7,2,0.0,1.0,1
-1.0892725389790123,-2.224711297147308,0.2877969496634369,0,2,0.0,1.0,2
-0.2096920003977685,-2.355921645945435,-0.034464020410707,0,2,1.0,0.0,1
0.6698885381834752,-0.6283187201034232,-0.1060775693160723,8,4,1.0,0.0,1
-1.0540893174357626,-0.6501871115697778,0.2877969496634369,0,4,0.0,1.0,2
-0.5967074373735158,-0.3002928481081044,-0.1418843437687549,2,2,1.0,0.0,1
0.7402549812699747,-0.4315031969062319,0.1445698518527062,8,2,0.0,1.0,0
-0.0689591142247695,-2.224711297147308,-0.3209182160321682,8,2,1.0,0.0,1
0.3884227658374772,-1.4593175958248972,-0.0702707948633896,0,5,1.0,0.0,1
0.3884227658374772,-2.202842905680953,0.1803766263053889,8,4,1.0,0.0,1
0.3532395442942274,-0.4752399798389411,-0.1418843437687549,0,4,0.0,1.0,1
-0.8078067666330143,-1.3499756384931243,0.1087630774000236,0,3,0.0,1.0,2
